DiaChi,NgayCap,TenHinhThuc
Quận 7,2015-10-15 00:00:00,PK đa khoa
Quận 7,2014-10-20 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2012-08-24 00:00:00,PKCK Mắt
TP. Thủ Đức,2014-02-25 00:00:00,PKCK Tai Mũi Họng
Quận 8,2013-08-22 00:00:00,PKCK Sản phụ khoa
Quận 4,2014-06-13 00:00:00,PKCK Tai Mũi Họng
Phú Nhuận,2013-12-17 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2014-05-15 00:00:00,PKCK Tai Mũi Họng
Bình Tân,2014-02-11 00:00:00,PK Nội tổng hợp
Quận 3,2013-08-08 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2014-01-13 00:00:00,Bệnh viện đa khoa
Quận 1,2014-05-30 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 1,2013-04-10 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 10,2015-06-15 00:00:00,PK Nội tổng hợp
Quận 10,2015-08-20 00:00:00,PKCK Da liễu
Tân Bình,2013-12-16 00:00:00,PKCK Mắt
Gò Vấp,2014-08-13 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2014-11-11 00:00:00,PKCK Răng Hàm Mặt
Nhà Bè,2014-03-18 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2014-04-21 00:00:00,PKCK Sản phụ khoa
Gò Vấp,2013-10-24 00:00:00,PKCK Sản phụ khoa
Bình Thạnh,2017-09-21 00:00:00,PKCK Nhi
Quận 10,2015-01-12 00:00:00,PKCK Phẫu thuật thẩm mỹ
Tân Bình,2015-02-10 00:00:00,PKCK Sản phụ khoa
Tân Bình,2013-11-29 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2014-02-11 00:00:00,PKCK Nội thần kinh
Quận 11,2014-04-22 00:00:00,PKCK Mắt
Hóc Môn,2014-07-24 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 8,2013-04-26 00:00:00,PKCK Nhi
Gò Vấp,2013-12-13 00:00:00,PKCK Sản phụ khoa
Quận 1,2013-03-14 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2015-05-08 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2017-04-26 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2014-11-14 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Thạnh,2014-08-13 00:00:00,Cơ sở dịch vụ làm răng giả
Quận 10,2013-11-05 00:00:00,PK Nội tổng hợp
Quận 6,2013-11-25 00:00:00,PK Nội tổng hợp
Quận 1,2013-11-29 00:00:00,PKCK Răng Hàm Mặt
Quận 3,2014-09-24 00:00:00,PK Nội tổng hợp
Bình Tân,2014-04-17 00:00:00,PKCK Sản phụ khoa
Gò Vấp,2015-08-04 00:00:00,PKCK Sản phụ khoa
Quận 7,2014-02-12 00:00:00,PKCK Sản phụ khoa
Quận 7,2014-02-12 00:00:00,PK Nội tổng hợp
Quận 7,2015-10-29 00:00:00,PKCK Sản phụ khoa
Quận 4,2013-11-29 00:00:00,PK Nội tổng hợp
Nhà Bè,2014-04-17 00:00:00,PK Nội tổng hợp
Gò Vấp,2015-07-07 00:00:00,PKCK Mắt
Quận 8,2015-05-29 00:00:00,PK Nội tổng hợp
Củ Chi,2014-03-24 00:00:00,PKCK Ngoại niệu
Quận 3,2015-05-22 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2013-12-25 00:00:00,PK đa khoa
Quận 8,2015-08-04 00:00:00,PKCK Răng Hàm Mặt
Quận 3,2014-12-08 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2013-06-05 00:00:00,PKCK Phẫu thuật thẩm mỹ
Gò Vấp,2013-07-09 00:00:00,PKCK Nhi
Bình Thạnh,2013-08-08 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2013-07-24 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2013-04-17 00:00:00,PK Nội tổng hợp
Quận 5,2014-03-24 00:00:00,PK Nội tổng hợp
Bình Thạnh,2015-06-29 00:00:00,PKCK Sản phụ khoa
Quận 4,2013-05-24 00:00:00,PK Nội tổng hợp
Quận 1,2013-09-30 00:00:00,PKCK Nhi
Quận 8,2014-04-21 00:00:00,PKCK Nhi
Củ Chi,2013-11-08 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2015-07-31 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 5,2015-06-29 00:00:00,Phòng xét nghiệm
Quận 3,2014-10-29 00:00:00,PKCK Nội Tim mạch
Tân Bình,2015-10-26 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 10,2015-07-13 00:00:00,Phòng xét nghiệm
Quận 10,2014-02-13 00:00:00,PKCK Sản phụ khoa
Quận 6,2013-07-24 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2015-07-09 00:00:00,PK đa khoa
Quận 4,2014-10-23 00:00:00,PKCK Nội Tim mạch
Tân Bình,2015-03-04 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2013-11-08 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2013-01-22 00:00:00,PK Nội tổng hợp
Bình Tân,2016-10-10 00:00:00,PK Nội tổng hợp
Phú Nhuận,2015-06-23 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 10,2014-09-22 00:00:00,PKCK Phục hồi chức năng
Quận 5,2015-08-20 00:00:00,PKCK Phục hồi chức năng
Quận 3,2015-06-29 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 8,2014-05-08 00:00:00,PKCK Sản phụ khoa
Phú Nhuận,2014-02-17 00:00:00,PKCK Tai Mũi Họng
Bình Thạnh,2014-04-17 00:00:00,PKCK Chấn thương chỉnh hình 
Phú Nhuận,2013-01-22 00:00:00,PKCK Da liễu
Gò Vấp,2013-09-30 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2014-03-19 00:00:00,PKCK Da liễu
Tân Bình,2017-07-31 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2014-10-23 00:00:00,PK Nội tổng hợp
Quận 6,2014-11-25 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 6,2014-09-24 00:00:00,PK Nội tổng hợp
Quận 4,2015-03-04 00:00:00,PKCK Sản phụ khoa
