LOAIHINHHN,PHAMVIHN,DUONG,PHUONG,QUAN,CVXLCCHN,NGCAPCCHN,NOICAPCCHN,GPP_GDP_GSP,NGAYCAPGCN,NGAYHHGCN
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","9, Đường số 5, Khu phố 2",Phường Linh Xuân,TP. Thủ Đức,Ds. Trương Việt Cường,2019-06-14,Sở Y tế TP.HCM,GPP,2020-03-18,
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","493, Man Thiện, Khu phố 5",Phường Tăng Nhơn Phú A,TP. Thủ Đức,,2016-07-13,Sở Y tế Tỉnh Đồng Nai,GPP,2017-12-01,01/12/2020
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","1097B, Tỉnh lộ 43, Khu phố 2",Phường Bình Chiểu,TP. Thủ Đức,Ds. Trần Minh Trí,2017-10-26,Sở Y tế TP.HCM,GPP,2020-07-10,10/07/2023
nhà thuốc,bán thuốc thành phẩm,"1B, Nguyễn Thượng Hiền",Phường 05,Bình Thạnh,,2015-06-17,Sở Y tế TP.HCM,GPP,2016-10-13,13/10/2019
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","2P, đường số 10",Phường Tân Quy,Quận 7,Ds Bùi Thanh Nguyệt,2016-02-05,Sở Y tế TP.HCM,GPP,2022-05-11,11/05/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","641, Quang Trung",Phường 11,Gò Vấp,Ds Trần Thị Như Thủy,2013-08-12,Sở Y tế TP.HCM,GPP,2020-06-11,
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","31, Sư Vạn Hạnh",Phường 03,Quận 10,Ds Trương Việt Cường,2015-10-30,Sở Y tế TP.HCM,GPP,2018-12-10,10/12/2021
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","23C, Lã Xuân Oai, Khu phố 6",Phường Tăng Nhơn Phú A,TP. Thủ Đức,Ds Trần Minh Trí,2016-04-29,Sở Y tế TP.HCM,GPP,2021-06-03,03/06/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","4/3, Ấp 5",Xã Xuân Thới Thượng,Hóc Môn,Ds. Nguyễn Huy Hùng,2019-05-07,Sở Y tế TP.HCM,GPP,2019-09-11,11/09/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 91, đường Suối Lội, tổ 4, ấp 1",Xã Phước Vĩnh An,Củ Chi,Ds Bùi Thanh Nguyệt,2017-07-28,Sở Y tế TP.HCM,GPP,2019-09-25,25/09/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","791, Nguyễn Kiệm",Phường 03,Gò Vấp,Ds. Bùi Thanh Nguyệt,2022-11-07,Sở Y tế TP.HCM,GPP,2023-07-24,24/07/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","421/23, đường số 48, khu phố 6",Phường Hiệp Bình Chánh,TP. Thủ Đức,Ds Trần Minh Trí,2015-11-27,Sở Y tế TP.HCM,GPP,2019-08-16,16/08/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","562A, đường Hưng Phú",Phường 09,Quận 8,Ds. Bùi Thanh Nguyệt,2021-10-29,Sở Y tế TP.HCM,GPP,2022-05-06,06/05/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","60A, Trần Thị Cờ, Khu phố 5",Phường Thới An,Quận 12,Ds. Lê Thị Minh Thảo,2020-06-19,Sở Y tế TP.HCM,GPP,2022-10-07,23/09/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","4/5, Bùi Công Trừng, ấp 4",Xã Đông Thạnh,Hóc Môn,,2019-11-11,Sở Y tế Tỉnh Đồng Tháp,GPP,2020-08-20,20/08/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","204, Dương Đình Hội, khu phố 4",Phường Phước Long B,TP. Thủ Đức,,2014-09-10,Sở Y tế Tỉnh Kiên Giang,GPP,2019-01-29,29/01/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","A3/66, Quốc lộ 50, ấp 1",Xã Phong Phú,Bình Chánh,,2019-10-30,Sở Y tế Tỉnh Phú Yên,GPP,2020-08-12,12/08/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","257, Nguyễn Thị Đặng, Tổ 13, Khu phố 2",Phường Tân Thới Hiệp,Quận 12,Ds. Trương Việt Cường,2019-10-30,Sở Y tế TP.HCM,GPP,2020-01-07,07/01/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","379, Tùng Thiện Vương",Phường 12,Quận 8,Ds. Trương Việt Cường,2018-02-26,Sở Y tế TP.HCM,GPP,2018-06-22,22/06/2021
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","3022K, Phạm Thế Hiển",Phường 07,Quận 8,Ds Phạm Văn Sơn,2016-04-07,Sở Y tế TP.HCM,GPP,2018-10-18,18/10/2021
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","E12/5A, Thới Hòa, ấp 5",Xã Vĩnh Lộc A,Bình Chánh,Ds Trần Thị Như Thủy,2014-03-18,Sở Y tế TP.HCM,GPP,2022-12-01,01/12/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 513, đường Rừng Sác, ấp Bình Thuận",Xã Bình Khánh,Cần Giờ,,2015-10-26,Sở Y tế Tỉnh Lào Cai,GPP,2019-11-28,28/11/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","154/3B, Ấp Thới Tây 2",Xã Tân Hiệp,Hóc Môn,Ds Bùi Thanh Nguyệt,2015-05-25,Sở Y tế TP.HCM,GPP,2018-10-11,11/10/2021
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","151B, TX25, Tổ 29, Khu phố 2",Phường Thạnh Xuân,Quận 12,Ds Lê Thị Thu Hòa,2015-07-21,Sở Y tế TP.HCM,GPP,2022-12-21,21/12/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","B185A, Xóm Chiếu",Phường 15,Quận 4,,2014-01-21,Sở Y tế Tỉnh Long An,GPP,2019-01-03,01/07/2020
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","B22/11, Hoàng Phan Thái, Ấp 2",Xã Bình Chánh,Bình Chánh,,2018-08-06,Sở Y tế Tỉnh Bến Tre,GPP,2019-02-22,22/02/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","43/11D, Ấp Tiền Lân",Xã Bà Điểm,Hóc Môn,Ds Tô Văn Minh,2017-08-03,Sở Y tế TP.HCM,GPP,2018-08-20,20/08/2021
doanh nghiệp bán buôn thuốc,bán thuốc thành phẩm,"872/71/38, Quang Trung",Phường 08,Gò Vấp,,2014-06-16,Sở Y tế tỉnh Lạng Sơn,GDP,2016-12-07,07/12/2019
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","367, Hoàng Hữu Nam, Khu phố 3",Phường Tân Phú,TP. Thủ Đức,,2017-07-14,Sở Y tế Tỉnh Thái Nguyên,GPP,2019-12-27,17/11/2020
nhà thuốc,bán thuốc thành phẩm,"D3/10, Nguyễn Thị Tú, ấp 4",Xã Vĩnh Lộc B,Bình Chánh,,2013-09-10,Sở Y tế Tỉnh Tây Ninh,GPP,2014-12-12,12/12/2017
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","67/3S, Đồng Tâm, ấp Mỹ Hòa 3",Xã Tân Xuân,Hóc Môn,Ds. Nguyễn Thị Kim Ngân,2018-09-28,Sở Y tế TP.HCM,GPP,2020-08-12,12/08/2023
nhà thuốc bệnh viện công lập,bán thuốc thành phẩm,"201, Nguyễn Chí Thanh",Phường 12,Quận 5,Ds Trương Việt Cường,2015-06-25,Sở Y tế TP.HCM,GPP,2014-06-12,12/06/2017
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 228, Lê Văn Sỹ",Phường 01,Tân Bình,Ds. Bùi Thanh Nguyệt,2018-10-26,Sở Y tế TP.HCM,GPP,2022-11-11,11/11/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","3422, Phạm Thế Hiển",Phường 07,Quận 8,Ds. Lê Thị Minh Thảo,2019-09-05,Sở Y tế TP.HCM,GPP,2020-06-11,
nhà thuốc,bán thuốc thành phẩm,"66/4B, ấp Trung Lân",Xã Bà Điểm,Hóc Môn,Ds. Nguyễn Huy Hùng,2019-02-18,Sở Y tế TP.HCM,GPP,2014-03-13,13/03/2017
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","58, Nguyễn Thị Bâu, ấp Chợ",Xã Tân Phú Trung,Củ Chi,,2019-09-25,Sở Y tế Tỉnh Trà Vinh,GPP,2019-11-21,21/11/2022
